incident_summary,true_label,pred_label,raw_output
"A leader of the CPI-Maoist action squad, identified as Nurul Mahalath, was arrested from the Bamongola area of Malda District. Nurul Mahalath's arrest comes at a time when the there are reports of the Maoists trying to regroup in north Bengal, according to a Senior Police official.",Security,Security,Security
"A civilian, identified as Vinay Mistry (28), working in a grocery outlet, was killed by a group of CPI-Maoist cadres at Murumgaon under Dhanora tehsil in Gadchiroli District. The incident occurred shortly after the local weekly market was over. It's learnt that the Maoists targeted Mistry after barging into the shop owned by the victim's employer Vyankatesh Ahirwar. The Maoists were said to be upset with Ahirwar for not complying with their demands.",Maoist,Maoist,Maoist
"Two CPI-Maoist cadres, identified as Bhagat and Kosa, were killed during an encounter between Police personnel and the Maoists in the forest area in the Konta village of Dantewada District along the Chhattisgarh-Andhra Pradesh border. Police recovered one rifle, one 12 bore rifle and a cartridge from the encounter site.",Security,Unknown,Unknown
"The Maoists fired four rounds targeting a Police van at Chaghati under Jashipur Police Station in the Mayurbjanj District on April 15. The vehicle was returning from Naana area inside the Similipal National Park to Jashipur Police Station. However, the Police personnel in the vehicle escaped unhurt.",Maoist,Maoist,Maoist
"The BSF personnel posted in CPI-Maoist infested Koraput District destroyed two Maoist camps in the last three days and arrested three supporters. BSF personnel started combing operations in the forests of Pottangi, Narayanpatna, Bandhugram and Sunki simultaneously and found two Maoist camps in Mangalpur forest under Narayanpatna block and Pilikabitra forest under Pottangi block. A large number of arms and ammunition seized from the camps include gun, pistol, claymore mines, live wires, gelatin sticks and Maoist literature. The Maoists camping in the two camps fled before BSF reached the spot.

Two of the three Maoist supporters were arrested in Tangini village of Pottangi block and one at Talabitra village in Koraput District.",Security,Security,Security
Two hardcore CPI-Maoist cadres identified as Amresh Kumar Sinha alias Kavi Ji alias K.V. and Sanjay Tiwari surrendered before Patna SSP Manu Maharaj in Patna District.,Maoist,Maoist,Maoist
"The Police arrested Bapi Mahato, one of the main accused in the May 28 Jnaneswari Express derailment case, from Rai Guest House in Jamshedpur.",Security,Security,Security
"Two cadres of the CPI-ML Praja Pratighatna outfit, Bhaskar alias Srinivas, 'dalam (squad) commander’ of the Mahabubabad area, and Srinivasulu, 'dalam' commander’ of the Tirmulgery area, were killed in a gun-battle with Police near Mallampalli in the Warangal District.",Security,Security,Security
"A CPI-Maoist's Charla LOS 'commander' S. Bojji alias Anjanna, was reportedly detained by the Police in Khammam District.",Security,Security,Security
"Encounters between the Security Forces (SFs) and cadres of the CPI-Maoist were reported from the Lalgarh area of West Midnapore District. According to the District Superintendent of Police Manoj Verma, the two sides exchanged fire intermittently throughout the day in the forest areas near Lakhanpur and Hatilot, which fall under the Salboni Police Station. Commenting on the progress of the joint operations, Chief Minister Buddhadeb Bhattacharjee, who was on a visit to Midnapur to review the progress of various development schemes, said a change in strategy was needed.",Unknown,Unknown,Unknown
"Dilip, a 'commander' of the CPI-Maoist, was arrested along with his six associates by a team of Chhattisgarh Armed Forces",Security,Security,Security
"Ganjam District, SP, Ashish Singh said Police seized four country-made guns, two 9 mm pistols, around 80 kg of explosives and 35 rounds of live cartridges from the spot.",Security,Unknown,Unknown
"A CPI-Maoist couple who were reportedly involved the 2008 attack on the Police armoury in Nayagarh, surrendered before the Police in Puri District. The Maoists, identified as Anirudh Behera and his wife Rajalaxmi Biswal, surrendered before Puri SP Sanjay Kumar, saying they decided to leave the outfit because of harassment by higher-ups in the Maoist hierarchy.",Maoist,Maoist,Maoist
"Two STF personnel posing as suppliers of AK-47 assault rifles have succeeded in arresting a CPI-Maoist self-styled 'sub-zonal commander', identified as Jitendra alias Tiger, in Simdega District. He belonged to the Aurangabad-Bhojpur sub-zone of the CPI-Maoist. Giving details, STF SP Shivdeep Lande said ""A team of special intelligence group (SIG) of STF went to Simdega posing as suppliers of AK-47 and managed to trap Jitendra alias Tiger. The STF has handed him over to the local Police Station and Bihar Police will take him on transit remand.""",Security,Security,Security
"Auxiliary Constable of Chhattisgarh Police, Pila Das, was abducted by CPI-Maoist cadres while he was travelling to Pollampalli from Dornapal town in Sukma District.",Maoist,Maoist,Maoist
A 30-year-old youth was reportedly beaten to death by suspected CPI-Maoist cadres in Bishunpur block in Gumla District.,Maoist,Maoist,Maoist
"Suspected cadres of the CPI-Maoist set ablaze to a tanker and another vehicle of a Kolkata-based construction company at Dhabatand in Giridih District for allegedly refusing to pay extortion, Police said. The construction company, which has been laying road between Giridih-Dumri, had refused to pay extortion, sources said.",Maoist,Maoist,Maoist
"Suspected cadres of the CPI-Maoist shot dead a CPI-M leader in West Midnapore District. The victim identified as 'Rabi Mahato, a CPI-M leader of Ramgarh near Lalgarh, was dragged out of his house by a group of armed men and was shot dead. His bullet-ridden body was recovered on the next morning.",Maoist,Maoist,Maoist
"One CPI-Maoist cadre was injured and nine Maoists, including the injured cadre, were arrested as Police destroyed a Maoist training camp at Kandani village in Munger District.",Security,Security,Security
"Police unearthed a dump belonging to the CPI-Maoist from Venkatapur forests in Asifabad mandal in Adilabad District. The dump consisting of electric wires, torches, audio-video cassettes, nut-bolts, red flags, soap boxes, tea and green caps was found buried in the ground on the outskirts of Samitilagundam village.",Security,Maoist,Maoist
"Maoists opened fire from both sides of the road targeting two buses coming to Daltonganj from Ambikapur in Chhattisgarh. Around 25 passengers of the two buses were injured in the incident. The driver of one of the buses, identified as Arvind Pandey, sustained bullet injuries, but managed to drive the vehicle up to Ranka Police station. Later, the bus driver succumbed to his injuries later.",Maoist,Maoist,Maoist
"A group of 15 to 20 cadres of the CPI-Maoist killed Shaik Majeed, a tailor by profession, branding him as a Police informer in Laxmipuram village of Eturunagaram mandal in Warangal District.",Maoist,Maoist,Maoist
"Suspected CPI-Maoist cadres killed a businessman, identified as Bapi Samanta, at Dandabadi village under Boipariguda Police Limits in Koraput District.",Maoist,Maoist,Maoist
"Two sympathisers of the CPI-Maoist, identified as Narayanan (32) and Chandru (28), were arrested while pasting posters relating to left-wing extremism in the Chikmagalur District.",Security,Security,Security
A CPI-Maoist leader identified as Biren Mahato was arrested from a village near Jhargram area in West Midnapore District.,Security,Security,Security
The CoBRA of the CRPF destroyed two Maoist camps in a combing operation at the Saranda forest in West Singhbhum District.,Maoist,Security,Security
The Telangana Rashtra Samithi District committee leader Rupu Reddy Ravinder Reddy was shot dead by armed Naxalites of the CPI (ML)-New Democracy in Gandhamapalli village under the Bayyaram Police station limits of Khammam District.,Maoist,Maoist,Maoist
Over 200 CPI-Maoist cadres attacked the house of a member of the State Legislative Assembly (MLA) in the Kala Pahar village of Aurangabad District. They set ablaze three vehicles being used by the MLA's construction company and abducted four labourers,Maoist,Maoist,Maoist
Cadres of the CPI-Maoist blow up the administrative office of a company involved in constructing roads in Bihar under the Golden Quadrilateral project near Tarachandi village in Sasaram District.,Maoist,Maoist,Maoist
"A CPI-Maoist cadre, identified as Chandrashekhar Sahni, was arrested along with weapons from Baligaon village in Gandak riverine area of Saran District of Bihar.",Security,Security,Security
"Two CPI-Maoist cadres, identified as P. Dasaradh alias ‘Tech’ Srinu alias Azad, and Anand Kumar alias Shyam, were killed in an encounter with the Police in the area between Ravulapalem and Manepalli Thanda of the Bollapalli mandal in Guntur District.",Unknown,Security,Security
"The CPI-Maoist blew up a Police jeep, killing a Policeman and injuring four others at Jaranga village in the Khunti District. The Inspector-General of Police, V. Deshmukh, said the jeep overturned under the impact of the blast. He, however, ruled out landmine causing the blast. The jeep was escorting a bus full of Security Force personnel when the incident occurred at around 9am (IST). The bus was on its way to Arki from Tamar ahead of the second phase of polls in the Khunti Assembly constituency scheduled for December 2. Khunti Superintendent of Police (SP) A. V. Minz said the jeep was badly damaged. ""The intensity of the blast was such that the vehicle was thrown several feet into the air and landed upside down in the jungle. The blast site is located about four km from the Arki Police Station,"" he added.",Maoist,Maoist,Maoist
SFs arrested two Maoist sympathisers from Choi under Churchu Police Station of Hazaribagh District.,Security,Security,Security
An armed Maoist squad raided a village in Balrampur in Purulia District and shot dead a 63-year-old retired school teacher Ajit Singh Sardar and his 22-year-old son Baku. Both the victims were supporters of TMC.,Maoist,Maoist,Maoist
"Suspected CPI-Maoist cadres abducted an unarmed CRPF trooper who was travelling in a bus along with six other colleagues near Manikonta in Dantewada District. Although some sources in Chhattisgarh said three CRPF personnel had been kidnapped, CRPF officials have denied this. ""It isn't correct that three of them have been abducted. Only one jawan was kidnapped. We are trying to secure his release,"" said the CRPF Director General A.S. Gill.",Maoist,Maoist,Maoist
"A businessman, identified as Mahendra Prasad Mittal, was killed by a Naxalite (left wing extremist) leader in Lohardaga District. Police said on October 20 that the man who killed businessman Mahendra Prasad Mittal in Lohardaga on October 19 was Manjitji, an 'area commander' of the recently formed Chhattisgarh-Jharkhand Simant Committee (CJSC) - a splinter group of the Communist Party of India-Maoist (CPI-Maoist) - and a close aide of the CJSC chief Sanjay Yadav. ""Mittal was shot dead by Manjit at his office. His brother Narendra said he did not have any threat to his life. But investigation has revealed that Mittal had been threatened a number of times by Manjit and his group,"" said Subodh Prasad, Lohardaga Superintendent of Police, adding, that Mittal and his business associates had never taken Police into confidence on such issues.",Maoist,Maoist,Maoist
The CPI-Maoist cadres destroyed houses of four persons whom they described as Police informers in the Nawada District. Police sources said that an armed squad of nearly 200 Maoists raided Jamunia village and asked the occupants of the four houses to come out before using dynamites to destroy the houses.,Maoist,Maoist,Maoist
"Eight wagons of a goods train were derailed and four severely damaged as People's Liberation Front of India (PLFI) extremists blew up about five feet of railway tracks between two small stations, Pokla and Bakaspur in the Ranchi division of Jharkhand. The PLFI had earlier called for a 12-hour general strike in the area to protect against price rise, corruption and alleged Police atrocities on extremists, the impact of which was most noticeable in Gumla, Simdega, Lohardaga, Chatra and Khunti Districts. Long-distance busses remained off the roads and markets were closed in these Districts. State Police spokesperson and deputy inspector-general of Police Raj Kumar Mallik said that the PLFI had only a marginal presence in some parts of the state and had joined hands with the Jharkhand Liberation Tigers to gain strength.",Maoist,Maoist,Maoist
"Acting on a tip, the STF of Uttar Pradesh in a raid intercepted a car and seized arms, meant for the CPI-Maoist cadres in West Bengal, in Lucknow. During the operation, one accomplice of the arms dealers managed to escape, while the Police chased and arrested the other two. Four rifles with 1,000 live bullets, a pistol, 400 live rounds of other guns, 15 ATM cards, and four mobile phones along with a car were seized.",Security,Security,Security
"A leader of the BJP's youth wing, BJYM, was shot at by CPI-Maoist in Bijapur District of Chhattisgarh. ""A small action team of Maoists attacked Murlikrishna Reddy, the BJYM Bijapur district president, last night at Bairamgad town of Bijapur. He was attacked with a country-made gun and other traditional weapons,"" SP KL Dhruw said.",Maoist,Maoist,Maoist
Two CPI-Maoist cadres were shot dead by security force personnel in the forested area of Pollampalli locality in the Dantewada District. Police recovered an unspecified quantity of foreign-made pistols and explosives from the slain Maoists.,Security,Maoist,Maoist
A group of SFs personnel had a close save as Maoists detonated a powerful pipe bomb blast in Bijapur District. No one was injured in the blast. The Maoists exploded the pipe bomb near Tarrem village under Basaguda Police Station limits when a team of CoBRA personnel was patrolling in the region.,Maoist,Maoist,Maoist
A man and his son were killed inside a hut at Bagam village under Narayanpatna block in Koraput District.,Maoist,Unknown,Unknown
Maoists damaged the Bijapur-Gangloor road near Ponjer village in Bijapur District by digging ditches at 12 locations within a one kilometre area.,Maoist,Maoist,Maoist
"The CPI-Maoist cadres killed Hemant Bage, a local Congress party leader, inside his vehicle and set it ablaze in the Lumbatoli village of Simdega District.",Maoist,Maoist,Maoist
"Cadres of the CPI-Maoist blew up two mobile phone towers of different private operators at Padmagiri and Tandapali in the Malkangiri District even as security was tightened in the State in view of 'martyrs week' being observed by the Maoists from July 28, the Police said. Normal life was affected in Kalimela, Motu, MV-79 and Padia areas of the District where shops and business establishments remained closed and vehicular movement came to a halt as the ''martyrs week'' called by Maoists began.",Maoist,Maoist,Maoist
"Two senior cadres of the CPI-Maoist were arrested from Lohandiguda area in Bastar District. ""The two youths in their late 20s were active in Bastar District for years. They had been involved in a few attacks in the past two years,"" SP P. Sundarraj said.",Security,Security,Security
Three Maoists surrendered before the District administration in Gadchiroli District.,Maoist,Maoist,Maoist
"Four cadres of the CPI-Maoist, wanted in an encounter case under the K. Bolang Police Station limits in Sundargarh District of Odisha, surrendered before the Police in the Rourkela Police Headquarters in the District. The surrendered Maoists have been identified as Samir Munda alias Jarka (20), Salmon Tapno alias Jedgo Munda (25), Namjan Munda (20) and Munika Surin alias Munda (18) and were operating mainly in the Saranda forest area of Odisha-Jharkhand border.",Maoist,Maoist,Maoist
"SFs recovered explosives and wireless sets from a CPI-Maoist hideout in Munger District. Launching a major combing and search operation against the Maoists in Barkhi Kanani area of Bhimbandh forest, the SFs recovered over 2,000 electronic detonators, 24 wireless sets, besides uniforms and literature.",Security,Security,Security
Suspected PLFI cadres blew up two concrete sleepers of tracks detonating IED between Khelari and McCluskieganj stations in Ranchi District.,Maoist,Maoist,Maoist
"Sanjay Parmanik, a hardcore cadre of the CPI-Maoist, surrendered to Inspector General of Police (Ranchi zone) Rezi Dundung.",Maoist,Maoist,Maoist
A joint team comprising CRPF and Special Task Force (STF) personnel raided Akurauni forest area in the Gaya District and neutralised a bunker of the CPI-Maoist. The raid was conducted on the basis of information provided by the Maoist leader Chandu Das who was arrested from Jhallar village in the District in the early hours on the same day.,Security,Security,Security
"SFs recovered 37 brand new gelatin sticks in Gurishole forest at Kanta Pahari, while patrolling in West Midnapore District. ""Around 5 am today [October 20], the security forces, with the help of sniffer dogs, found the gelatine sticks under a heap of dried eucalyptus leaves,"" a CRPF officer said.",Security,Security,Security
"CPI-Maoist cadres entered an explosives unit at Bageibira village in the Bargarh District, overpowered the two guards and instructed them to inform unit’s owner to pay INR 200,000 and also hand over explosive materials within a week. The Maoists also pasted a poster on the wall of the shop before leaving.",Maoist,Maoist,Maoist
SF's destroyed two Maoist bunkers and seized about 5000 rounds of ammunition besides explosives from a training camp in Kubra hills in Gaya District.,Security,Security,Security
"The joint SFs arrested two wanted CPI-Maoist leaders identified as Ranjan Munda and Baneshwar Murmu along with an SLR and a rifle, from Gopiballpur in West Midnapore District. Munda, an 'area commander' in-charge of the Nayagram squad, was arrested from Chilkathi village in Jhargram during an operation led by ASP (operations) Alok Rajoria. Involved in the abduction of OIC of the Sankrail Police Station, Atindranath Nath Dutta in October 2009, Munda had carried out subversive activities in Jharkhand and Odisha apart from Jangalmahal. Murmu, an action squad leader of Jhargram, had accompanied Munda during the operation.",Security,Security,Security
"A local committee office of the ruling CPI-M at Dherua, around 22 kilometers from Lalgarh, was ransacked by the PCPA. The Maoist-backed PCPA members felled trees at Tandra and other areas on roads leading to Lalgarh and organised a rally at Mehmul, near Salboni and at Madhupur to protest alleged atrocities during anti-Maoist operations by the Security Forces, sources said.",Maoist,Maoist,Maoist
"Senior CPI-Maoist leader Arnab Dam alias Bikram was arrested at the Biramdih railway station in Purulia District. An AK-47 rifle, some rounds of ammunition and some Maoist literature were recovered from him. Bikram, a State Committee member and secretary of the Bihar Jharkhand Odisha Border Regional Committee of the CPI-Maoist, was the biggest achievement of the joint SFs after the elimination of Polit Bureau member Koteswara Rao alias Kishanji in a November 2011 encounter in West Midnapore District.",Security,Security,Security
"Eight CPI-Maoist cadres, including a self-styled 'area commander' Sanjay Thakur, and a woman cadre, were arrested from Bashathpur village under Tariyani Police Station in Sheohar District.",Security,Security,Security
"Rajesh Prasad Shaw (24), a Police constable was killed and two others were injured in a landmine blast triggered by the Maoists who were targeting Ghatshila ASP Anish Kumar Gupta in Ghatshila in East Singhbhum District.",Maoist,Maoist,Maoist
"A woman Maoist 'deputy commander', carrying a reward of INR 300,000 on her head, surrendered before Narayanpur District Police. Phulo Salaam turned herself in citing disillusionment with the ""hollow"" ideology of the CPI-Maoist and their wrong policies.",Maoist,Maoist,Maoist
"A 33-year-old Maoist, identified as Ramsingh Nag, carrying a cash reward of INR 25,000, was arrested from Mardapal village in Kondagaon District, Chhattisgarh. He had joined the Maoists as 'section commander' of Kaknar (Chhattisgarh) platoon in 2010.",Security,Security,Security
"The CPI-Maoist cadres killed a former colleague, Jeetu Madavi at Belgaon village in Dhanora tehsil in Gadchiroli District.",Maoist,Maoist,Maoist
"The Gaya Police seized a huge cache of explosives, including 1,200 detonators, five gelatine sticks and 200 metres of wire, from a room at Balthar village under the CPI-Maoist-dominated Barachatti Police Station of Gaya District. The Superintendent of Police Sushil Khopde said a suspected Maoist has been arrested in this connection. Identified as Surindra Manjhi, he is said to be the caretaker of the room where the detonators were found under a heap of animal fodder.",Security,Security,Security
A fierce gun battle started between the Police and CPI-Maoist cadres after more than 50 heavily armed Maoists attacked Tandwa Police Station in Aurangabad District,Maoist,Maoist,Maoist
Two Special Police Officers and a CRPF personnel sustained injuries in a clash between the CPI-Maoist cadres and SF personnel in the Konta block of Dantewada District. SFs retaliated when Maoists opened fire and simultaneously triggered a landmine blast targeting them in the area.,Maoist,Maoist,Maoist
"Police arrests four Maoists, including an ‘area commander’ wanted by both Bihar and Uttar Pradesh Police in the Phulwarisharif area of Patna city and seized a large cache of arms and Maoist literature from their possession.",Security,Security,Security
"Tritiya Prastuti Committee (TPC) cadres, splinter group of the CPI-Maoist, shot dead a civilian, identified as Revalal Yadav in the Latehar District. Police recovered the dead body from the Balumathon-Murpa road.",Maoist,Maoist,Maoist
The Police also recovered two unexploded landmines fitted under two separate culverts in the District during a combing operation.,Maoist,Unknown,Unknown
"A joint team of Gondia and Chandrapur Police raided Mul and Pathri villages in Chandrapur District and arrested two suspected Maoist cadres. The Police are yet to identify them. The Police team also recovered INR 350, 000 and Maoist pamphlets from the duo, Police sources added.",Security,Security,Security
"Six cadres of the CPI-Maoist were reportedly killed by SFs during an encounter that lasted over five hours in Majidih village in Banka District. According to Police sources, around 12 heavily armed Maoists, who were holed up in a house in the village, opened fire on STF troopers after being asked to surrender. The SFs retaliated by killing six of the Maoists, DGP Neelmani said",Security,Security,Security
"Four CPI-Maoist cadres, identified as Muli Golari (32), Tilsu Khilo (31), Kamulu Badanayak (28) and Damburu Khilo (30), who were active in the Balimela reservoir area of Malkangiri District of Odisha, surrendered before Malkangiri Superintendent of Police.",Maoist,Maoist,Maoist
"Train services on Raxaul-Sitamarhi route halted for over 12 hours following recovery of an IED on the railway track near Ghorasahan railway station of the East Central Railway's Raxaul-Darbhanga section in East Champaran District. Superintendent of Raxaul station BNP Srivastav said the IED was probably planted by the CPI-Maoist. ""An alert was sounded and movement of trains suspended soon after recovery of the IED,"" Srivastav said. In 2010, two bogies of a goods train were blown up in an IED blast triggered by Maoists on the same track. According to railway sources, RPF officials from Raxaul rushed to the spot along with Police and BDS. The bomb was finally defused and train services resumed after thorough checking of tracks. SP of Raxaul, Jitendra Rana said a probe had been ordered into the recovery of the IED.",Maoist,Maoist,Maoist
"Maoists killed a railway worker, identified as Srikant Saren and set ablaze a bulldozer near Nunnungeria village in Jhargram area of the District. Srikant had brought a bulldozer in the village to dig a pond.",Maoist,Maoist,Maoist
"One woman and a Police officer were killed by the CPI-Maoist cadres who were opposing the Panchayat elections in Ramsinghdih Panchayat under Laxmipur block in Jamui District. Three Maoists, who had queued up before a booth at Ramsinghdih Panchayat, opened fire killing ASI Rajendra Jha on the incident site, the Police said.The Maoists later demanded a matchbox from a woman, identified as Aisa Khatoon, to set ablaze a tractor near the booth. As the woman refused, they fired at her, killing her and injuring two other villagers, the sources said.",Maoist,Maoist,Maoist
"Maoists set ablaze a truck at Manjhidih village between Tamar and Khunti, 70 kilometers from Ranchi.",Maoist,Maoist,Maoist
"Four Maoists, identified as Hunga Uike (23), Midiyami Kosa, Bheema Kuanjam and Assu alias Panta (25), were arrested while another one, identified as Kalmesh Markami, a 'commander' of Dabha division, surrendered in Dantewada District. Hunga was a 'member' of the Machkot Maoist local operation squad while Aasu a people's militia 'section commander'. The duo carried a reward of INR 100000 each on their head.",Security,Maoist,Maoist
"Cadres of the CPI-Maoist killed a local leader of the ruling Congress party, identified as Ram Reddy, at Velerpadu mandal of Khammam District.",Maoist,Maoist,Maoist
15-20 Maoists cadres managed to give SFs a slip during a raid by the latter in the Sunabeda Wildlife Sanctuary in Nuapada District.,Security,Maoist,Maoist
"Three Maoists, identified as Jugal Kendruka, Sugriva Nachika and Jibita Kendruka, were arrested during a joint operation by personnel of Koraput District Police and SOG in Dumsil area under Narayanpatna Police Station limits.",Security,Security,Security
"Two CPI-Maoist cadres, Sukmati (19) and her associate Jogo Madkami (20) were rounded up from Bhairamgadh Police Station limits of Bijapur District.",Security,Security,Security
"Asit Mahato, spokesperson of the PCPA, escaped from the joint forces when they raided Bhulageria in Lalgarh in West Midnapore District. Maoists and PCPA's mass militia squad blasted two landmines and entered into a gun battle with the Security Forces.",Maoist,Maoist,Maoist
"Police recovered the body of an unidentified person near Kushaboni forest in West Midnapore District. A CPI-Maoist poster saying the killing was in retaliation to the killing of Sashadhar Mahato was found along with the body. It also read that they will not spare anyone involved in the killing of Mahato, be it the Police, SF personnel or informers",Maoist,Maoist,Maoist
"Orissa Police arrested a forest department official in the Sambalpur District on charges of having links with left-wing extremists. The official identified as Trilochan Kanhara was working as a field assistant in the Kishinda Forest Division and was posted at Badabahal forest, had confessed that he had links with the CPI-Maoist.",Security,Unknown,Unknown
"The Surat Rural Police arrested a former freelance journalist of Orissa, identified as Niranjan Mahapatra (37), from Pandesara in Surat District for his alleged involvement in Maoist movement in Surat city and different tribal areas of south Gujarat.",Security,Security,Security
"Following a tip-off, the Police conducted a search operation near the Chenpur area and arrested Girivar Chaudhary, an ‘area commander’ of JPC and his associate Vijay Chaudhary alias Rajender from Palamau after a fierce exchange of fire. However, there was no report of any casualty. Eight regular guns, two pistols, 30 bullets and heavy explosive material were recovered from the encounter site.",Security,Security,Security
"A group of CPI-Maoist cadres attacked and injured an ex leader of Salwa Judum, identified as Madvi Bhorasu (40) in the weekly bazaar at Bhairamgarh, near Bijapur (Bijapur District).",Maoist,Maoist,Maoist
"10 personnel of the Mizoram Reserve Police were among 12 persons killed in a landmine explosion triggered by the CPI-Maoist cadres near Konta in the Dantewada District. The Police personnel were returning to Konta after some purchases from the weekly local market at Banda, when the private jeep they were travelling was blown up by the landmine explosion. Police said the explosion was so powerful that the dead and mutilated bodies were traced in the vicinity of 300 to 400 meters from the blast site. ""We have recovered all the bodies and security forces have been pressed into an intensive search operation in the area,"" the Inspector General of Police (Bastar Range) R K Vij informed. The other two persons killed were the driver of the vehicle and an unidentified boy. The Maoists, who detonated the landmine, also reportedly looted arms, including seven AK-47 rifles, before escaping from the incident site.",Maoist,Maoist,Maoist
"34 CPI-Maoist cadres, including a few of their supporters, surrendered in Narayanpur District. They were active in Benur and Kiskod area of the District as Local Operating Squad members, ASP, Narayanpur, O.P. Sharma said.",Maoist,Maoist,Maoist
"Three District Police personnel, including a Head Constable, were injured in an encounter with CPI-Maoist cadres in Kondagaon District. SP D Shravan said a joint team of District Police and Chhattisgarh Armed Forces had left Bayanar Police Station for a search operation in nearby areas but the Maoists hiding near Mungawal Kotapara village started firing on the Police personnel as soon as the Police team reached near the village.",Maoist,Maoist,Maoist
"CPI-Maoist cadres kill five civilians in different incidents in the Dantewada District. The victims include a Bharatiya Janata Party (BJP) leader, Ravikanath Mahibi, and a village head, Venkateswarlu.",Maoist,Maoist,Maoist
"A day after nine Maoist cadres were killed in an encounter with SFs in Sukma District, members of the outfit fired at a BSF helicopter while it was evacuating Greyhounds personnel from Battiguda in Bijapur District.",Maoist,Maoist,Maoist
"Bijapur District Police detected a landmine of about 3 kg hidden beneath metalled road during search operation on Awapalli Road near village Dubaiguda, 5 km ahead of Awapalli. The bomb was of anti handling type.",Maoist,Unknown,Unknown
"Two CPI-Maoist cadres, including an 'area commander' identified as Shankar Yadav, were arrested while many others managed to escape during a search operation by the Police in the Chandauti Police Station area of Gaya District. Shankar was involved in several cases of Maoist violence, including the attack on the Paraiya Police Station a few years back in which four Policemen were killed. The other arrestee was identified as Raj Bhallabh, a school student, who is also a fresh recruit.",Security,Security,Security
