incident_summary,raw_output,true_civilians,pred_civilians,true_maoist,pred_maoist,true_government_officials,pred_government_officials,true_security,pred_security,true_private_property,pred_private_property,true_mining_company,pred_mining_company,true_government_infrastructure,pred_government_infrastructure,true_non_maoist_armed_group,pred_non_maoist_armed_group,true_no_target,pred_no_target
"The CPI-Maoist cadres killed a civilian, identified as Sundar Hantal (25), at Godaput under Chitrakonda Police Station limits in Malkangiri District.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist commander carrying head money of INR 200000, identified as Bisetti Maheswara Rao alias Venu/Raghava, was arrested by Police from the Vizianagaram District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Six heavily armed CPI-Maoist cadres were killed after a 20-hour encounter with the SFs in the Dantewada District. Police and paramilitary teams from the Dantewada and Bijapur Districts shot dead the insurgents in the Kirandul area of Dantewada, 400 kilometers south of capital Raipur. ""We basically hit a Maoist camp, our heavily armed Policemen assisted by Central Reserve Police Force (CRPF) put the militants under heavy fire throughout Monday and early morning on Tuesday. We finally killed six militants and recovered their arms,"" Superintendent of Police (Dantewada) Amresh Mishra told IANS.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gulab Singh, a former village head, was killed by the cadres of the CPI-Maoist in front of villagers in a ‘jan adalat’ charging him of financial irregularities in Narayanpur District. He was abducted on October 19.","Government Officials, Civilians",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre, who was allegedly involved in landmine explosion and other criminal activities, was arrested by Chandiposh Police and team in the border area of Chandiposh and K Balang forest of Sundergarh District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Top CPI-Maoist leader and an accused in the April 2010 Dantewada attack that killed 75 CRPF personnel, Hemant Mandavi alias Bijja was arrested in Dantewada District of Chhattisgarh. According to the SATP data 75 CRPF personnel and a State Policeman were killed in the Dantewada attack by the Maoists. The Chhattisgarh Police, which made the arrest, claimed that he was involved in the murder of 136 civilians and security personnel and was leading Platoon No-1 of a CPI-Maoist military company.","Maoist, Security, Civilians",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Suspected CPI-Maoist cadres killed a senior official of the Small Forest Produce Cooperative Committee in the Raigarh District, Police said on December 11. Brijlal Yadav, manager of the committee, was stabbed to death in village Kindhra, Special Divisional Police Officer G. N. Baghel said. The assailants, who had come in a jeep, abducted Yadav from his residence in the village in the night of December 9 and his dead body was found in the evening of December 10 in a nearby forest, he said.",Government Officials,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Police seized a huge cache of explosives from an area under Pratappur Police Station. The Chatra SP D. B. Sharma said that the seizure was made when Police, during long-range patrolling, came across three persons carrying sacks and wires at a jungle near Kalhibar village. When the Police personnel asked the men to stop, they escaped while leaving behind the sacks and wires, he said. On checking the sacks, Police recovered 10 kilograms ammonium nitrate, 110 detonators, 40-metres of fuse wire, 10 metres of electric wire and other equipment used for making improvised explosive devices (IEDs). Police had tip-off of that Maoists plan to create disturbances during the poll and intensive search and combing operations was launched in the area ahead of the polls, the SP added.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CPI-Maoist cadres have set ablaze the Gadchiroli Forest Department's range office and inspection room at Perimili on the Bhamragarh-Alapalli road.,Government Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Four CPI-Maoist cadres were arrested from a village under the Konch Police station in Gaya District.,Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A dalam 'commander' of the CPI-Maoist, Sutari Papa Rao (42) alias Singanna, was killed in an exchange of fire with a Police party near Sayannapalli village in Gundala mandal of Khammam District.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"A villager, identified as Awadhesh Singh Bhokta, a resident of Chilmi village in Aurangabad District, was shot dead by suspected Maoists at close to canal in Dalelbigha village under Madanpur Police Station in Aurangabad District. According to Police sources, Maoists caught Bhokta on June 8 night from Panchrukhiya village, took him near the canal and killed him by opening fire on him by an AK-47.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist 'sub-zonal commander', who carried a reward of INR 500,000 on his head, surrendered before DGP, D.K. Pandey at the state Police headquarters in Ranchi District.",Maoist,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Police arrested a top CPI-Maoist leader and Mahabubnagar ‘District committee secretary’, Kodavati Kumara Swamy alias Naganna alias Sahu, carrying a head money of INR 300,000 in Warangal. According to Police, Swamy is also a member of the South Telangana Zonal Committee and one of the prime accused in the killing of the Indian Police Service officer, Paradeshi Naidu, the then Superintendent of Police of Mahabubnagar District. Warangal Superintendent of Police, Soumya Mishra, said that Swamy was involved in several cases, including the killing of eight Police personnel.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The Police arrested two persons, identified as Manik Mahato and Bijay Mahato of Mudabani village under Jhargram Police station in West Midnapore, from an isolated hut inside a forest, about 15 km from Baripada in Mayurbhanj District.",Security,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Four landmines were seized during a combing operation by Security Forces (SFs) from the CPI-Maoist affected Saranda forest area in Sundargarh District.,Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPI-Maoist cadres have killed three civilians including two sons of a surrendered Maoist cadre in Barkol forest range of Latehar District. A pamphlet found from the spot alleged that the victims were 'Police informers'. According to information after Rampreet Yadav's surrender, the Maoists had been suspecting his two sons Shravan Yadav (32) and Hiralal Yadav (20) along with Shivlal Yadav (22) to be working as 'Police informers'. On July 24, Maoists came to know about Shravan and Hiralal's presence in Barkol area. A team of Maoists went to their houses and took them away to Barkol forest area and gunned them down. The Maoists also went to Shivlal Yadav's house and strangulated him to death by a rope.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The CPI-Maoist cadres fired at a make-shift camp of the SFs, triggering a gun battle at Barwadih in Latehar District. However, there was no report of any loss of life, Latehar SP Kranti Kumar said, adding the two sides were exchanging fire intermittently. The encounter followed a special drive launched by the District Police and the CRPF in the stronghold areas of the Maoists in Maoist-infested parts of the District, Kumar said.",Security,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"SFs, recovered two IEDs, planted allegedly by CPI-Maoist cadres near a Police Station in Sukma District. A joint team of SF personnel found the IEDs while carrying out a demining exercise near Fulbagdi Police Station on Kerlapal-Fulbagdi road, Sukma ASP Santosh Singh said. While one IED weighed 10 kilograms, another was of two kilograms, he said.","Security, Government Infrastructure",0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"Five CPI-Maoist cadres, including two girls, surrendered before the Police in Visakhapatnam.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Acting on a tip-off that CPI-Maoist cadres were purchasing bulk SIM cards from a gang of miscreants on fake identification proofs, crime branch of Lucknow Police busted a SIM supplying racket, arresting two persons. The crime branch sleuths also recovered over three-dozen activated SIM cards and 82 customer application forms from their possession. The arrested persons were identified as Ram Kumar Kannaujia, a resident of Bazaarkhala Police Station area and Kapil Dixit, a resident of Alambagh Police Station area.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Four CPI-Maoist cadres abducted Chingu Jani, the sarpanch of Dumuripadar panchayat in Koraput District. He was standing near a tea stall with other people in Mathiliput village when he was abducted.","Government Officials, Civilians",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Four cadres of CPI-Maoist were arrested from Madded Police Station limits of Bijapur District in Chhattisgarh, during a search operation.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Suspected CPI-Maoist cadres shot dead a guard in the East Singhbhum District. The activists arrived at the house of Tejlal Singh (40) in the night and dragged him out about a kilometre away before killing him in Chotachidka village under Bodam Police Station. The exact cause behind the killing could not be ascertained, they said.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suspected CPI-Maoist cadres looted the house of a businessman at MV-72 village in the Malkangiri District and set two of his vehicles ablaze. Police sources said that nearly 500 extremists forcibly entered the house of the businessman and looted paddy and other crops stored inside, besides, valuables. They also disconnected telephone link and power supply to the house. Fear of landmines prevented the Police from reaching the spot immediately.",Private Property,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"A secret camp of CPI-Maoist was unearthed during a joint operation by the personnel of DVF, SOG, CRPF, and District Police inside Pakidi forest near Srirampur in Kandhamal District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Five persons were reportedly arrested in connection with the CPI-Maoist attack on an Ashramam in G. Madugula mandal in Visakhapatnam District.,Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Police arrested two Maoists from Tandwa and Kasma Police Station areas in Aurangabad District of Bihar. Acting on a tip off, Police raided Beni village and arrested 'sub-zonal commander' Kamal Kishore alias Satishji. Another Maoist identified as Tapeshwar Bhuian was arrested from Bigaha Tola village. The two Maoists were wanted in over a dozen cases of violence in Aurangabad District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jharkhand Police arrested a top ranking Maoist leader, identified as Niranjan Oraon alias Neeraj, 'area commander' and 'sub-zonal member' of the outfit from Budhapahar in Simdega District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A top CPI-Maoist cadre identified as Mohan Rai was arrested from Khatwari village under Khaira Police Station area in Jamui District. Wires used for landmine explosion, INR 25,000 in cash and several other incriminating articles were recovered from his possession.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPI-Maoist has appealed to the villagers in the tribal District of Gadchiroli to boycott the Zilla Parishad (District council) elections. Maoists accosted a Tata Sumo jeep at Kondawahi village in which Nationalist Congress Party (NCP) workers were travelling and set the vehicle on fire after forcing the activists to disembark. On the same day, Maoists stopped a vehicle used by Congress Party activists at Karwafa in North Gadchiroli and set it afire after asking the occupants to get down.","Government Officials, Private Property",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
A former Naxalite was hacked to death by his rivals near the Ngarajunasagar Project Guest house in the Khammam town.,Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre, identified as Muchaki Hadma (21), was arrested from Bhadrachalam town of Khammam District, Telangana. The arrested cadre belonged to the Malangir 'area committee' of the Maoists in Dantewada District of Chhattisgarh. After joining the Maoists in 2001, Muchaki was deployed in Kistaram and Golapalli LOS as a 'member' during which his task was to teach at the 'Janatana Sarkar' (people's government) run schools in the interior pockets of south Bastar. He carried reward of INR 500,000 on his head.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cadres of the CPI-Maoist opened fire near Kasansur in Aheri block of Gadchiroli District shortly before polling commenced. However, Security Forces did not return the fire as part of a strategy since Maoists were not visible, Police said.",Security,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre identified as Vikash, allegedly involved in an attack on Police party that had killed two personnel in Dhanbad during Maoist bandh a few weeks ago was arrested at a place under Muffasil Police Station in Giridih District of Jharkhand.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A young CPI-Maoist cadre, M. Koteswara Rao alias Seshu alias Raghu, carrying head money of INR 50000, surrendered before the Police at Ongole in the Prakasam District. According to Police, he was involved in six offences, including two murder cases and participation in two exchanges of fire with the Police. After the surrender, Koteswara Rao revealed that while studying ninth class in a school at Tharigoppula village in the Guntur District, he was attracted by revolutionary songs. He joined the CPI-Maoist outfit in 2005 and held various positions, including as a protection squad member, a platoon committee member and a member of the Gundlakamma dalam.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Kandhamal Police arrested Manmohan Pradhan, the husband of the sarpanch of Sonepur panchayat in Daringibadi block and two others identified as Suneswar Baladamajhi and Petaguluduka for their reported involvement in CPI-Maoist violence in various places in Kandhamal District.","Security, Maoist",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Huge quantities of explosives were recovered from the premises of an ancient building in Musaboni block of Ghatshila sub-division in East Singhbhum District.,No Target,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CPI-Maoist cadres set ablaze a Gram Panchayat building in Godalwahi village in Dhanora Division of Gadchiroli District.,Government Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
A Naxalite belonging to the Penna Ahobilam squad of the CPI-Maoist is killed in an encounter with the Police at Jarutlarampuram village in Anantapur District while another is arrested at the same place.,"Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A top CPI-Maoist cadre was arrested from Pilpilo More, around 60 kilometres from Bokaro steel city.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A group of suspected CPI-Maoist cadres killed a villager, identified as Jamil Soren in West Midnapore District. Soren, a native of Garra village near Lalgarh, was dragged out of his house and was shot dead.","Civilians, Private Property",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"A 19-year-old youth, identified as Tankeshwar, was killed and his family reportedly evicted from the village allegedly by CPI-Maoist cadres in Narayanpur District. The deceased was brutally beaten to death by Maoists at his village Becha under Chhote Dongar Police Station limits, after they branded him as a 'police informer', Narayanpur SP Abhishek Meena said. His younger brother was also reported to be badly beaten up by the Maoists. Later, his family was threatened to leave the village, the SP said.",Civilians,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Four Maoists and 200 activists of CMAS surrendered in separate incidents in Koraput District.,No Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Cadres of the CPI-Maoist blew up Mareda Bridge on the Aranpur road in the Dantewada District. However, no causalities were reported.",Government Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"A woman Maoist cadre of OSOC of the CPI-Maoist, identified as Sabita Mallick alias Peti (22), known as Sukanti in the rebel camp, surrendered before SP Pandit in Ganjam District. Sukanti hailed from Mankadakhari village under Sorada Police Station limits in the District.",Maoist,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A Maoist was arrested by Police from Champapur village in the East Champaran District. Acting on a tip-off, the Police raided the village and arrested the Maoist who supplied mobile phones to the outfit, Superintendent of Police Umesh Kumar said, adding, he was being interrogated.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Four members of a family were shot dead by a group of armed cadres of the CPI-Maoist at Kohbarba Rasulpur village in the East Champaran District. According to Bihar Police sources, ""armed Maoists first surrounded the village, attacked the house of an affluent farmer, and exploded it with dynamites. Later, they set ablaze a tractor and motorcycles. They killed four people."" As reported earlier, the CPI-Maoist had killed three farmers at Maheshwari village in the Jamui District.","Civilians, Private Property, Maoist",1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"The District Police arrested five cadres of the TPC-1 from Daltonganj in Palamu District. TPC-1 is a breakaway group of TPC, which in turn is a breakaway faction of the CPI-Maoist. SP Anoop T Mathew said Rang Bahadur Singh, the TPC-1 leader, had been arrested and along with four other cadres.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Seven jawans of the CRPF were killed in a landmine explosion triggered by the CPI-Maoist in Dantewada District of Chhattisgarh. A vehicle carrying the CRPF's 230th battalion belonging to the Ghusaras CRPF camp in Dantewada were returning after leave for Holi was blown up by Maoists near the Malewara market on the Dantewada-Sukma road. The deceased troopers were identified as Sub-Inspector D. Vijay Raj, Constables Pradeep Tirkey, Rupnarayan Das, Devendra Chourasia, Ranjan Dash and Mritunjoy Mukharjee and driver Saindane Nana Usesing. Three troopers were also injured in the explosion.","Security, Maoist",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"A couple belonging to the CPI-Maoist, who had been negotiating with the Gajapati District Police over the last couple of days, surrendered without arms before the Superintendent of Police A.N. Sinha.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"In a separate raid the Police arrested Bimal Mahato alias Mithun, a cadre of Maoist-backed PCPA from Kalaboni village of the District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A group of 200 CPI-Maoist cadres attacked a construction company site at Kharaundha station in Nawada District, and set ablaze four vehicles including two SUVs. The Maoists abducted four persons, which included three contractors named Vinod Yadav, Kailash Yadav and Sanjay Singh, and a driver, Shamshad.","Private Property, Government Officials",1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"A CPI-Maoist activist, identified as Polam Narasaiah alias Ramanna, carrying head money of INR 50,000, was arrested by Police from the Mancherial division of Adilabad District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Police also found five landmines from Ambatar village in Hazaribagh District of Jharkhand.,Security,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Police arrested a CPI-Maoist cadre, Asharfi Yadav, at Jalbotha village under Chando Police station limits of Surguja District. He is reported to have disclosed his involvement in the killing of the Bharatiya Janata Party leader, Devnandan Yadav, and several other cases.","Maoist, Security, Government Officials",0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Former Naxalite Nayeemuddin were killed in an exchange of fire with the Police in Shadnagar Town of Mahbubnagar District,"Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A teenage girl, who had joined the CPI-Maoist early in 2015, has surrendered before the Police in Gadchiroli District. The 14-year-old girl, a student of Class VIII at an 'Ashram Shala' in Lahiri village of Gadchiroli, had run away along with two other girls in January this year (2015). They were suspected to have joined the Maoist movement, Gadchiroli PRO Sub-Inspector, Tejaswi Patil said. Patil further said, adding, Police is now looking to rescue the other two girls.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"CPI-Maoist cadres killed Tapan Deswali, a supporter of the CPI-M from Tungbhedua village in Bhulabheda area of West Midnapore District.",Government Officials,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A team of Police and CRPF personnel killed a 'zonal commander' of the CPI-Maoist identified as Sanjay Yadav alias Mantri ji alias Yatin ji in Kodebera village forest under Palkot block in Gumla District. The Maoist was carrying a bounty of INR One Million on his head. The SF personnel recovered the dead body from the encounter site and also recovered arms reportedly carried by the Maoist 'zonal commander'.,Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Police arrested Hajari Hembram, a Maoist squad member, from Urmahat in Purulia, close to the Jharkhand.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"In a raid at Nanaikela village in the Chatra District, Police arrested four Maoists and recovered two pistols and 20 cartridges from them.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Suspected CPI-Maoist cadres shot dead a 30-year-old Panchayat ward member, identified as Motai Bodra, near Narsingarh weekly market in Dalbhumgarh of Ghatshila in East Singhbhum District of Jharkhand. According to eyewitnesses, Bodra, a resident of Ramaitand village in Ghurabandha, was buying goods at Narsingarh weekly market, when someone asked him to accompany him to the corner of the haat. “Soon, two more men appeared in the scene. Their faces were covered. They dragged Bodra for about 100 metres to a secluded place and pumped three bullets into his body. He died on the spot,” said the eyewitness. However, SP (rural) Shailendra Kumar Sinha did not confirm involvement of Maoists in the broad daylight murder. “We cannot conclusively say that it was a Maoist-sponsored killing. The murder of Bodra might also be an outcome of a gang rivalry or an old enmity with someone in his village. We are probing the case from all possible angles,” the SP said.",Government Officials,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"In Chatra District, suspected Maoists blew up two blocks of a middle school building in the Kaura village under Pratapur Police Station. During the just concluded Lok Sabha elections, the Police had put up camps in these buildings.","Government Infrastructure, Security",0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"In protest of the anti-Maoist operations in the District, about 10 cadres’ sprinkled diesel and set ablaze a poclain hydraulic in a stone crushing unit",Private Property,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"With the arrest of four persons, including three CPI-Maoist cadres, Hajipur Police of Vaishali District claimed to have cracked the case of 'levy' demand made from owner of Avon cycle factory at Hajipur. The North Bihar 'zonal committee' of the CPI-Maoist had demanded INR 1.5 million as 'levy' from the owner of a under construction Avon cycle factory on June 26. The Police seized revolutionary literature, laptop containing details of Maoists network, posters, firearms and cell phones from the possession of arrested persons.","Maoist, Private Property",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Maoists abducted Srimanta Tudu, the son of a former CPI-M supporter, from near his house at Mohanpur in the Binpur region in West Midnapore and demanded the release of Durga Mandi, a Maoist squad member, for setting the boy free.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Three CPI-Maoist cadres, including a 15-year-old boy, involved in offences like attack on SFs and abduction surrendered before the Police in Jajpur District. The Maoists were identified as Harish Badra (15), Laba Badra (23) of Baligotha village in Jajpur and Banamali Jerai (48) of Jamabahali village in Keonjhar District, Jajpur SP D S Kuttey said.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Superintendent of Police Ch. Srikanth gave a cheque for INR 200, 000 to surrendered woman Naxalite G. Vijayalakshmi in Kurnool District.",Maoist,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A suspected woman cadre of the CPI-Maoist, identified as Sujatha was arrested in Mangrol town in Surat District.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maoists blew up a section of the rail track between Jogeshwar Bihar and Dania which resulted in damage to the overhead equipment. According to railway sources, a night patrolman had noticed a three-foot hole, presumably dug for planting explosives, in the down track near the Karmabad Station. Further, in the afternoon, a freight train was derailed near Mahua Milan in the Latehar District.","Maoist, Government Infrastructure",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"CPI-Maoist cadres triggered a blast at the coffee-seeds godown of the APFDC at Lankapaakala village in G.K Veedhi Mandal of Visakhapatnam District, demanding distribution of its coffee plantations to the Girijans.",Government Infrastructure,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Police arrested a CPI-Maoist cadre in Hazaribagh District. SP Manoj Kaushik said William Hansda (27), an expert in handling all kinds of weapons, was arrested from Chalania forest in Vishnugarh.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre, Kunjam Venkateswarulu alias Sampat, surrendered before the East Godavari District Police in Rajahmundry.",No Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"A group of four armed cadres of the CPI-Maoist killed a person, identified as Gadadhar Singh Rajput of Sambalpur village, in the Kundei Police Station area of Raighar Block in Nabarangpur District suspecting him as a Police informer.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The East Champaran District Police arrested eight members of Azad Hind Fauj at Delho village under Madhuban Police Station area in the District.,"Non-Maoist Armed Group, Security",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Two CPI-Maoist cadres were arrested at Janupuri more under Murhu Police Station in Khunti District. Luxman Munda and Jura Hasa are in their 20s and have been working for the Maoists for a few years. One rifle and 10 bullets were found from them. The Police also recovered two bikes.,"Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre, identified as Uika Gunda (27), was arrested by SFs from Kumharapara village under Basaguda Police Station limits in Bijapur District of Chhattisgarh. During interrogation, Uike admitted of being involved in several crimes.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mahbubnagar District Police arrested a top Maoist leader Vikram alias Daramoni Srinu following a search in the Nallamalla forests of Telangana State.,Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
