incident_summary,raw_output,true_armed_assault,pred_armed_assault,true_arrest,pred_arrest,true_bombing,pred_bombing,true_infrastructure,pred_infrastructure,true_surrender,pred_surrender,true_seizure,pred_seizure,true_abduction,pred_abduction
"Acting on a tip-off, Police arrested four people and seized a consignment of explosives, ammunition and medicines being supplied to Maoists in a Government ambulance near Bhamragarh of Gadchiroli District.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"Police arrested a top CPI-Maoist leader and Mahabubnagar ‘District committee secretary’, Kodavati Kumara Swamy alias Naganna alias Sahu, carrying a head money of INR 300,000 in Warangal. According to Police, Swamy is also a member of the South Telangana Zonal Committee and one of the prime accused in the killing of the Indian Police Service officer, Paradeshi Naidu, the then Superintendent of Police of Mahabubnagar District. Warangal Superintendent of Police, Soumya Mishra, said that Swamy was involved in several cases, including the killing of eight Police personnel.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"The Police arrested two persons, identified as Manik Mahato and Bijay Mahato of Mudabani village under Jhargram Police station in West Midnapore, from an isolated hut inside a forest, about 15 km from Baripada in Mayurbhanj District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Maoist ‘deputy commander’ belonging to the Manmgi Dalam, Jungnaka Jaithu alias Amruth alias Vinod, surrendered before the Adilabad District Superintendent of Police, Kripanand Tripathi Ujela.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"CPI-Maoist cadres have killed three civilians including two sons of a surrendered Maoist cadre in Barkol forest range of Latehar District. A pamphlet found from the spot alleged that the victims were 'Police informers'. According to information after Rampreet Yadav's surrender, the Maoists had been suspecting his two sons Shravan Yadav (32) and Hiralal Yadav (20) along with Shivlal Yadav (22) to be working as 'Police informers'. On July 24, Maoists came to know about Shravan and Hiralal's presence in Barkol area. A team of Maoists went to their houses and took them away to Barkol forest area and gunned them down. The Maoists also went to Shivlal Yadav's house and strangulated him to death by a rope.","Armed Assault, Abduction",1,1,0,0,0,0,0,0,0,0,0,0,1,1
Maoists killed two villagers - Vijay Dhanwar (35) and Mahavir Mahto (38) - who used to collect levy on their behalf at Lailore village in Jeraikela Police Station area of Manoharpur block in West Singhbhum District.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A suspected cadre of the CPI-Maoist was arrested from West Midnapore District. ""Sunil Kisku was arrested from Belpahari region, a Maoist stronghold in the District. He was an active Maoist ultra and used to operate in the region,"" the Inspector General of Police (Law and Order), Surajit Kar Purakayastha, said. He also said Kisku has been charged with launching attacks on the Security Forces’ camps in the region. He is also allegedly involved in some murder cases.","Arrest, Armed Assault",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Five CPI-Maoist cadres, including two girls, surrendered before the Police in Visakhapatnam.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Acting on a tip-off that CPI-Maoist cadres were purchasing bulk SIM cards from a gang of miscreants on fake identification proofs, crime branch of Lucknow Police busted a SIM supplying racket, arresting two persons. The crime branch sleuths also recovered over three-dozen activated SIM cards and 82 customer application forms from their possession. The arrested persons were identified as Ram Kumar Kannaujia, a resident of Bazaarkhala Police Station area and Kapil Dixit, a resident of Alambagh Police Station area.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"Four CPI-Maoist cadres abducted Chingu Jani, the sarpanch of Dumuripadar panchayat in Koraput District. He was standing near a tea stall with other people in Mathiliput village when he was abducted.",Abduction,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Four cadres of CPI-Maoist were arrested from Madded Police Station limits of Bijapur District in Chhattisgarh, during a search operation.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Suspected CPI-Maoist cadres shot dead a guard in the East Singhbhum District. The activists arrived at the house of Tejlal Singh (40) in the night and dragged him out about a kilometre away before killing him in Chotachidka village under Bodam Police Station. The exact cause behind the killing could not be ascertained, they said.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Five persons were reportedly arrested in connection with the CPI-Maoist attack on an Ashramam in G. Madugula mandal in Visakhapatnam District.,Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
An Assistant Constable was hacked to death by CPI-Maoist cadres in Kondagaon District.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Police arrested two Maoists from Tandwa and Kasma Police Station areas in Aurangabad District of Bihar. Acting on a tip off, Police raided Beni village and arrested 'sub-zonal commander' Kamal Kishore alias Satishji. Another Maoist identified as Tapeshwar Bhuian was arrested from Bigaha Tola village. The two Maoists were wanted in over a dozen cases of violence in Aurangabad District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Jharkhand Police arrested a top ranking Maoist leader, identified as Niranjan Oraon alias Neeraj, 'area commander' and 'sub-zonal member' of the outfit from Budhapahar in Simdega District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"SFs recovered a seven kilogram pipe bomb planted under the Ghori Ghat Main road in Chatra District. On a tip off, CRPF and the District Police personnel launched a search and recovered the explosive. It was apparently planted by CPI-Maoist to target security forces, from the arterial road passing through Jolhatetaria village, SP Surendra Kumar Jha said.","Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
"Two persons suspected to be supplying arms to the CPI-Maoist were arrested by the Security Forces at Jakhaura in Jhansi District. Around 1,500 detonators, fuse wires and gelatine rods were recovered from their possession.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"CPI-Maoist has appealed to the villagers in the tribal District of Gadchiroli to boycott the Zilla Parishad (District council) elections. Maoists accosted a Tata Sumo jeep at Kondawahi village in which Nationalist Congress Party (NCP) workers were travelling and set the vehicle on fire after forcing the activists to disembark. On the same day, Maoists stopped a vehicle used by Congress Party activists at Karwafa in North Gadchiroli and set it afire after asking the occupants to get down.","Infrastructure, Armed Assault",1,1,0,0,0,0,1,1,0,0,0,0,0,0
A former Naxalite was hacked to death by his rivals near the Ngarajunasagar Project Guest house in the Khammam town.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre, identified as Muchaki Hadma (21), was arrested from Bhadrachalam town of Khammam District, Telangana. The arrested cadre belonged to the Malangir 'area committee' of the Maoists in Dantewada District of Chhattisgarh. After joining the Maoists in 2001, Muchaki was deployed in Kistaram and Golapalli LOS as a 'member' during which his task was to teach at the 'Janatana Sarkar' (people's government) run schools in the interior pockets of south Bastar. He carried reward of INR 500,000 on his head.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"An Assistant Commandant of the CRPF, Rajpal Singh, was killed and five other CRPF personnel were injured when the CPI-Maoist cadres attacked a Police patrolling team in the forests of Karchuli village of Bijapur District. Rajpal Singh succumbed to injuries en route to the hospital, Deputy Director General (Naxal operations) Pawan Dev said.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre identified as Vikash, allegedly involved in an attack on Police party that had killed two personnel in Dhanbad during Maoist bandh a few weeks ago was arrested at a place under Muffasil Police Station in Giridih District of Jharkhand.","Arrest, Armed Assault",0,1,1,1,0,0,0,0,0,0,0,0,0,0
A joint contingent of the CRPF and State Police recovered 10 IEDs from Bangalipara area in Dantewada District during a road opening exercise.,Seizure,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Seven Maoists, three of them carrying reward of varying amounts on their heads, were arrested from Sukma District of Chhattisgarh. ""The cadres were apprehended by a joint team of security forces near Chingavaram village under Gadiras police station limits,"" Sukma ASP Santosh Singh said.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Armed Maoists took Murlidhar Mahadole (50), a Government employee, from Mendhatola village in the same District with them into the near by forest where they slit his throat, suspecting him to be a Police informer.","Abduction, Armed Assault",1,1,0,0,0,0,0,0,0,0,0,0,0,1
Huge quantities of explosives were recovered from the premises of an ancient building in Musaboni block of Ghatshila sub-division in East Singhbhum District.,"Seizure, Infrastructure",0,0,0,0,0,0,0,1,0,0,1,1,0,0
CPI-Maoist cadres set ablaze a Gram Panchayat building in Godalwahi village in Dhanora Division of Gadchiroli District.,Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
A Naxalite belonging to the Penna Ahobilam squad of the CPI-Maoist is killed in an encounter with the Police at Jarutlarampuram village in Anantapur District while another is arrested at the same place.,"Armed Assault, Arrest",1,1,1,1,0,0,0,0,0,0,0,0,0,0
"A top CPI-Maoist cadre was arrested from Pilpilo More, around 60 kilometres from Bokaro steel city.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"A group of suspected CPI-Maoist cadres killed a villager, identified as Jamil Soren in West Midnapore District. Soren, a native of Garra village near Lalgarh, was dragged out of his house and was shot dead.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"In Malkangiri District, a member of the bomb disposal squad of Orissa Police was injured while defusing landmines. The anti-Maoist force, comprising Special Operation Group (SOG) and Orissa Police, found seven live landmines near Gobindpalli ghat under Mathili Police station.","Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
Four Maoists and 200 activists of CMAS surrendered in separate incidents in Koraput District.,Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"A woman Maoist cadre of OSOC of the CPI-Maoist, identified as Sabita Mallick alias Peti (22), known as Sukanti in the rebel camp, surrendered before SP Pandit in Ganjam District. Sukanti hailed from Mankadakhari village under Sorada Police Station limits in the District.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"A Maoist was arrested by Police from Champapur village in the East Champaran District. Acting on a tip-off, the Police raided the village and arrested the Maoist who supplied mobile phones to the outfit, Superintendent of Police Umesh Kumar said, adding, he was being interrogated.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,0,1,0,0
"Four members of a family were shot dead by a group of armed cadres of the CPI-Maoist at Kohbarba Rasulpur village in the East Champaran District. According to Bihar Police sources, ""armed Maoists first surrounded the village, attacked the house of an affluent farmer, and exploded it with dynamites. Later, they set ablaze a tractor and motorcycles. They killed four people."" As reported earlier, the CPI-Maoist had killed three farmers at Maheshwari village in the Jamui District.","Armed Assault, Bombing, Infrastructure",1,1,0,0,1,1,1,1,0,0,0,0,0,0
"Seven jawans of the CRPF were killed in a landmine explosion triggered by the CPI-Maoist in Dantewada District of Chhattisgarh. A vehicle carrying the CRPF's 230th battalion belonging to the Ghusaras CRPF camp in Dantewada were returning after leave for Holi was blown up by Maoists near the Malewara market on the Dantewada-Sukma road. The deceased troopers were identified as Sub-Inspector D. Vijay Raj, Constables Pradeep Tirkey, Rupnarayan Das, Devendra Chourasia, Ranjan Dash and Mritunjoy Mukharjee and driver Saindane Nana Usesing. Three troopers were also injured in the explosion.","Bombing, Armed Assault",0,1,0,0,1,1,0,0,0,0,0,0,0,0
Two active supporters of the CPI-Maoist including a woman cadre were arrested from Gudari area in Rayagada District.,Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Two CPI-Maoist cadres were killed in an encounter with the Police in Buruguvada village of Vararamachandrapuram sub-division in Khammam District. The deceased extremists were identified as Aithu alias Bhagat, 25, and Madakam Kosa, 26. They were suspected to be the commander and deputy commander, respectively, of the Bhadrachalam local organisational squad.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A group of 200 CPI-Maoist cadres attacked a construction company site at Kharaundha station in Nawada District, and set ablaze four vehicles including two SUVs. The Maoists abducted four persons, which included three contractors named Vinod Yadav, Kailash Yadav and Sanjay Singh, and a driver, Shamshad.","Armed Assault, Infrastructure, Abduction",0,1,0,0,0,0,1,1,0,0,0,0,1,1
Ranchi Police arrested two PLFI cadres with arms and ammunition from Lapung Police Station area in Ranchi District.,"Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"A CPI-Maoist activist, identified as Polam Narasaiah alias Ramanna, carrying head money of INR 50,000, was arrested by Police from the Mancherial division of Adilabad District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Former Naxalite Nayeemuddin were killed in an exchange of fire with the Police in Shadnagar Town of Mahbubnagar District,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Suspected CPI-Maoist cadres attacked a cloth shop at Saraiya Bazaar Chowk under Belsand sub-division in the Sitamarhi District. They also threatened the shopkeeper and set ablaze his motorcycle in an apparent bid to collect levy.,"Armed Assault, Infrastructure",1,1,0,0,0,0,1,1,0,0,0,0,0,0
"The Police arrested another Maoist cadre, identified as Sukadev Digal, from Sipazu in Raikia Police Station area in Kandhamal District. At least six Maoist posters were recovered from him, the Police said.",Arrest,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"A teenage girl, who had joined the CPI-Maoist early in 2015, has surrendered before the Police in Gadchiroli District. The 14-year-old girl, a student of Class VIII at an 'Ashram Shala' in Lahiri village of Gadchiroli, had run away along with two other girls in January this year (2015). They were suspected to have joined the Maoist movement, Gadchiroli PRO Sub-Inspector, Tejaswi Patil said. Patil further said, adding, Police is now looking to rescue the other two girls.","Surrender, Abduction",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"CPI-Maoist cadres killed Tapan Deswali, a supporter of the CPI-M from Tungbhedua village in Bhulabheda area of West Midnapore District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Two landmines were recovered by SFs in Bokaro District of Jharkhand. The District officials also issued an advisory to security personnel not to defuse the landmines but hand over the task to bomb disposal squads.,"Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
"A supporter of the CPI-Maoist-backed PCPA was killed by suspected Maoist cadres in West Midnapore District. The victim identified as Ajit Bera, a resident of Bachurkhayar village near Nayagram, was dragged out of his home by armed cadres.","Armed Assault, Abduction",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"The Police arrested Hajari Hembram, a Maoist squad member, from Urmahat in Purulia, close to the Jharkhand.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Six cadres of the CPI-Maoist, identified as Bharti Akka, area committee secretary, Raju, platoon commander of the Jan Shakthi dalam, Sadhu and Dinga, Jagdish and Madhu, all dalam members, surrendered before the Police in the District headquarter Gadchiroli. Police said that all of them will be provided financial assistance as per provisions of the surrender and rehabilitation policy.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Maoist cadres fired about a dozen shots on Indradeo Prasad, a farmer near Narayanpur Bazar, under Rajepur Police Station area in East Champaran District killing him on the spot.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"In protest of the anti-Maoist operations in the District, about 10 cadres’ sprinkled diesel and set ablaze a poclain hydraulic in a stone crushing unit",Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"A Naxalite belonging to the Praja Pratighatana faction was killed in an encounter with the Police at Mellamadgu village in the Bodu Police station limits of Khammam District. Three others Naxalites, however, managed to escape. One 8-mm rifle was recovered from the slain extremist.","Armed Assault, Seizure",1,1,0,0,0,0,0,0,0,0,1,1,0,0
"With the arrest of four persons, including three CPI-Maoist cadres, Hajipur Police of Vaishali District claimed to have cracked the case of 'levy' demand made from owner of Avon cycle factory at Hajipur. The North Bihar 'zonal committee' of the CPI-Maoist had demanded INR 1.5 million as 'levy' from the owner of a under construction Avon cycle factory on June 26. The Police seized revolutionary literature, laptop containing details of Maoists network, posters, firearms and cell phones from the possession of arrested persons.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"Maoists abducted Srimanta Tudu, the son of a former CPI-M supporter, from near his house at Mohanpur in the Binpur region in West Midnapore and demanded the release of Durga Mandi, a Maoist squad member, for setting the boy free.",Abduction,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Three CPI-Maoist cadres, including a 15-year-old boy, involved in offences like attack on SFs and abduction surrendered before the Police in Jajpur District. The Maoists were identified as Harish Badra (15), Laba Badra (23) of Baligotha village in Jajpur and Banamali Jerai (48) of Jamabahali village in Keonjhar District, Jajpur SP D S Kuttey said.","Surrender, Abduction",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"The CPI-Maoist in the night damaged an excavator used for laying a village road under Pradhan Mantri Gramya Sadak Yojna (PMGSY) near Daringbadi in the Kandhamal District. According to sources, some 15 armed Maoists tried to set ablaze the excavator near Danekbadi village at a distance of 15 kilometres from Daringbadi. The excavator was being used for construction of the Danekbadi-Padenketa road under PMGSY. Maoists are opposed to construction of roads to interior areas.",Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"A trooper of the STF, Yogendra Singh, was killed and another injured in an encounter with CPI-Maoist cadres in Sukma District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Seven cadres of the CPI-Maoist, including a woman, surrendered in Narayanpur District of Chhattisgarh stating their disillusionment with the Maoist movement besides exploitation of lower-rank and women insurgents by Maoist leaders from Andhra Pradesh. The surrendered Maoists were identified as-Balkrishna alias Krishna Nag (37), Dayaram (32), Lalit Kumar Potai (30), Guddu Medam alias Pavan Kumar Pradhan (40), Koliya alias Sudhram Netam (25), Tilanand alias Guddu (20), and a woman Maoist Sukli Vadde (25).",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Maoists blew up a section of the rail track between Jogeshwar Bihar and Dania which resulted in damage to the overhead equipment. According to railway sources, a night patrolman had noticed a three-foot hole, presumably dug for planting explosives, in the down track near the Karmabad Station. Further, in the afternoon, a freight train was derailed near Mahua Milan in the Latehar District.","Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
"A CPI-Maoist bunker was destroyed in Palamu District and large quantities of explosives seized. The Police and para military forces, in a joint operation, destroyed the bunker in the Abun forest area. The Police seized a plastic tank filled with 50 kg of codex wire and other explosive materials from the spot.","Infrastructure, Seizure",0,0,0,0,0,0,1,1,0,0,1,1,0,0
"Police arrested a CPI-Maoist cadre in Hazaribagh District. SP Manoj Kaushik said William Hansda (27), an expert in handling all kinds of weapons, was arrested from Chalania forest in Vishnugarh.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,0,1,0,0
"Acting on a tip-off, a team comprising BSF and SOG troopers conducted a combing operation in Tekguda forest in Kalimela area in Malkangiri District and recovered a huge CPI-Maoist explosive dump. The recoveries include 12 electronic detonators, seven gelatine sticks, more than 30 metres of codex wire and electric wires used in landmine blast. Maoist literature, posters, banners and leaflets were also recovered from the spot.","Bombing, Seizure, Infrastructure",0,0,0,0,0,1,0,1,0,0,1,1,0,0
"A top CPI-Maoist operative, Srinivas Reddy, the mastermind behind the fabrication of rocket launchers being used by extremists, surrendered to the Police along with his wife Sudharani in the Warangal District",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Nine CPI-Maoist cadres, including five women, were arrested by the Police at Jamshedpur. Earlier, Police had detained 20 persons who organised a rally with a plan to declare a State-wide shutdown on June 1. ""From the people we had detained, we have found that Geeta, a member of Dasta Maoist outfit and other hard core Maoists who used to work as logistics and work for strengthening the unit. We have identified nine of them and will present them in court,"" said Superintendent of Police Navin Kumar Singh.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Police recovered a huge arms and ammunition dump belonging to the CPI-Maoist in the forests of Narsingapur village of Adavi Mutharam mandal in Karimnagar District of Andhra Pradesh.,Seizure,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"CPI-Maoist cadres killed two persons, suspecting them to be Police informers, in Malkangiri District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mahbubnagar District Police arrested a top Maoist leader Vikram alias Daramoni Srinu following a search in the Nallamalla forests of Telangana State.,Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Deputy Superintendent of Police Ashish Chandra got injured after a suspected Left Wing Extremist woman attacked him with chair at her house at Sobhana Chak area in Munger District,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"At least five CPI-Maoist cadres were shot dead by the Police during an encounter in the Bijapur District under Bastar Division. According to Police sources, a huge cache of arms and explosives was also recovered from the encounter site.","Armed Assault, Seizure",1,1,0,0,0,0,0,0,0,0,1,1,0,0
"On the second day of the ‘martyrs week, organised by the CPI-Maoist from July 28-August 3, Maoists opened fire towards Cherpal Police post in the Bijapur District and fled after retaliatory action by the Police.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Police arrested 11 cadres of the CPI-Maoist from Durgkondal area in Kanker District and seized explosives and guns from them.,"Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"Two Maoists were arrested from a passenger train in Dantewada District of Chhattisgarh. Following a tip-off about the presence of two Maoists in a passenger train running between Visakhapatnam and Kirandul, Police swung into action and arrested the duo, said Dantewada SP Kamlochan Kashyap, adding that the State Government had declared cash reward of INR 1000,00 each on them. The arrested Maoists were identified as Rajesh Bhaskar (20) and Mangal (22).",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
