incident_summary,total_fatalities,first_action,incident_number,count_bin
Naxalites of the CPI-Maoist kill a Telugu Desam Party (TDP) activist at Morjampadu village in the Machavaram administrative division of Guntur District.,1,Armed Assault,101200501.0,1
"CPI-Maoist activists shot dead a TDP activist, Kotturi Pocham, at Ankoda under Easgaon Police station limits in the Adilabad District.",1,Armed Assault,101210501.0,1
"A teenager, belonging to a tribal community, is shot dead by CPI-Maoist cadres belonging to the Krishnapatti squad at Peddagattu in the Nalgonda District.",1,Armed Assault,101230501.0,1
"Ranga Reddy, a functionary of the youth wing of the ruling Congress party in Prakasam District, was killed by CPI-Maoist cadres in Laxmipuram village near the Nallamalla forest area.",1,Armed Assault,101230701.0,1
"A LWE belonging to the CPI-ML Praja Pratighatana, identified as Suresh alias Pratap Reddy, was killed in an exchange of fire with the Police near Busuraigutta hillocks in Allapalli Singaram forest area under Gundala Mandal (administrative unit) in Khammam District.",1,Armed Assault,101231101.0,1
"Four Naxalites of the CPI-Maoist belonging to the 'Sagar area committee squad' shot dead a TDP leader, Hanmanthu Chandriah Goud, at Devarakonda in the Nalgonda District.",1,Armed Assault,101240501.0,1
"CPI-Maoist cadres shot dead a civilian, Boya Kadireppa, at Bandameedipalli village in the Rapthadu area of Anantapur District.",1,Armed Assault,101250601.0,1
"CPI-Maoist cadres shot dead three persons, accusing them of being Police informers, at Borlagunda village in the Karimnagar District.",3,Armed Assault,101260801.0,3-5
"CPI-Maoist cadres shot dead a lawyer, identified as Annapureddy Ravi Kumar, at Gummmanampadu village in the Guntur District.",1,Armed Assault,101270501.0,1
"Naxalites of the CPI-Maoist kill a surrendered Naxalite, identified as V. Ramesh alias Murali, branding him a Police informer at Begumpet village in the Karimnagar District.",1,Armed Assault,101300501.0,1
Two CPI-Maoist cadres were killed in an encounter with the Police personnel in the forest areas of Peruru in the Khammam District.,2,Armed Assault,102010701.0,2
"Seendri Bathro alias Badri (35), from Kannvaram under Mampa Police Station in Koyyru mandal of Visakhapatnam District was found killed with his neck strangulated. A letter left at the spot reportedly by some CPI-Maoist cadres said he was killed for being a 'police informer'.",1,Armed Assault,102011201.0,1
"CPI-Maoist cadres killed a former colleague suspecting him to be a Police informer at Kukumpudi village in the Visakhapatnam District. The slain extremist, Gemmeli Venkatrao, had surrendered to the Police in 2006.",1,Armed Assault,102020701.0,1
"CPI-Maoist cadres shot dead a civilian, Chetawat Gopal, a native of Usmankunta in the Chandampet mandal (administrative division) of Nalgonda District.",1,Armed Assault,102040601.0,1
"Naxalites of the CPI-Maoist 'Sirnapally-Bheemgal' squad kill a former Naxalite, Chintalawada Srinivas alias Shyam, between Pothunur and Rekulapally villages in the Nizamabad District.",1,Armed Assault,102060501.0,1
"Three CPI-Maoist cadres, including a woman, are killed in an encounter with the Police at Malakondapenta in the Racharla mandal of Prakasam District.",3,Armed Assault,102060601.0,3-5
Police kill two CPI-Maoist cadres near Karampudi village in the Guntur District.,2,Armed Assault,102070601.0,2
Naxalites belonging to the Guttikonda squad of the CPI-Maoist shot dead two civilians suspecting them as Police informers at Miryal village in the Guntur District.,2,Armed Assault,102080501.0,2
"A surrendered Naxalite, identified as Narasimha Rao, is shot dead by the CPI-Maoist cadres after branding him a Police informer at Takkelapadu village in the same District.",1,Armed Assault,102080502.0,1
A CPI-Maoist cadre belonging to the Krishnapatti dalam (squad) is killed during an exchange of fire with the Police at Morjhampadu village in the Machavaram area of Guntur District.,1,Armed Assault,102080601.0,1
"A zonal secretary belonging to the Praja Prathighatana faction for Khammam-Warangal region was killed in an encounter with the Police in Venkatapuram forests in Allapalli Police station limits in the Khammam District. Two cell phones, four SIM cards, kitbags, a spring field rifle, one 8 mm rifle were recovered from the encounter site.",1,Armed Assault,102110801.0,1
"LWEs belonging to CPI-ML-Janashakti has again regrouped and returned by striking terror and killing a former Sarpanch, at Marupaka village of Vemulawada mandal in Andhra Pradesh.",1,Armed Assault,102111301.0,1
"Naxalites of the CPI-Maoist kill a village community leader, identified as G Mohan Rao, branding him a Police informer, at Gopalraopet village under Pinapaka administrative division of Khammam District.",1,Armed Assault,102120501.0,1
"A cadre of the CPI-Maoist was killed during an encounter with a Police party at Lovavalasa in the Vizianagaram District. He was identified as Rukdar alias Sudheer, the Malkangiri divisional committee member in Orissa. According to Police sources, rest of the Maoists belonging to the Koraput dalam managed to escape from the incident site.",1,Armed Assault,102140801.0,1
"Naxalites of the CPI-Maoist kill a civilian, Bandaru Vijaybhaskar, at Lalipuram village in Guntur District, branding him a Police informer",1,Armed Assault,102160501.0,1
Two TDP activists are shot dead by the CPI-Maoist at Papinenipally in the Prakasam District after being branded as Police informers.,2,Armed Assault,102190501.0,2
Three tribals were killed by CPI-Maoist cadres at Lakkavaram forest area in G.K. Veedhi mandal of Visakhapatnam District.,3,Armed Assault,102191301.0,3-5
"A dalam 'commander' of the CPI-Maoist, Sutari Papa Rao (42) alias Singanna, was killed in an exchange of fire with a Police party near Sayannapalli village in Gundala mandal of Khammam District.",1,Armed Assault,102201201.0,1
Two CPI-Maoist cadres were killed in an exchange of fire with a combing party comprising in Vishakhapatnam District,2,Armed Assault,102211601.0,2
"Armed CPI-Maoist cadres stormed into the house of a tribal youth, identified as Sode Kannaiah, and subsequently shot him dead by branding him as a Police informer at Surakonda village of Chintur mandal in the Khammam District.",1,Armed Assault,102230901.0,1
CPI-Maoist cadres killed an elected sarpanch of Balapam panchayat under Chintapalli mandal in Visakhapatnam District for contesting the elections against their order.,1,Armed Assault,102251401.0,1
"The 'upper plateau squad commander' of the CPI-Maoist, Kiran alias Raghu alias Kuppa Narayappa, is killed in an exchange of fire between Naxalites and the Police at B.K. Uppanuntala in the Mahabubnagar District.",1,Armed Assault,102260501.0,1
"Police shot dead two women Naxalites, belonging to the Manthani Naresh local guerrilla squad of the CPI-Maoist on the outskirts of Gopalpur in Karimnagar District. Four Maoists, however, managed to escape from the encounter site.",2,Armed Assault,102270501.0,2
"A suspected CPI-Maoist cadre, belonging to the Indervelli squad, is killed during an encounter with the Police at Babapur village in Adilabad District.",1,Armed Assault,102280501.0,1
"Suspected cadres of the CPI-Maoist killed an activist of the ruling Congress party, identified as G. Prakash, in the outskirts of Baleru village in the Srikakulam District.",1,Armed Assault,102290803.0,1
CPI-Maoist cadres kill eight civilians and chopped off the limbs of two others belonging to the upper castes at Vempenta village in Kurnool District.,8,Armed Assault,103010501.0,6-10
"Four Maoists belonging to the Peddapalli Local Guerilla Squad kill Telangana Rashtra Samithi (TRS) leader, P Balwanth Rao, in the Kalva Srirampur area of Kurnool District.",1,Armed Assault,103020501.0,1
Three CPI-Maoist cadres including a woman cadre were killed during an encounter with the anti-naxal squad Police at a remote place between Marriguda and Thangalkota in the East Godavari District. The slain Maoists are not yet identified and are believed to be top Maoist leaders of Orissa.,3,Armed Assault,103020701.0,3-5
"CPI-Maoist cadres kill a former Naxalite, Bhanot Raju alias Sambaiah, near Sultanpur village in the Warangal District holding him responsible for the Oddegudem incident in which two Naxalites were killed and the 'Division Committee Secretary' D.V.K. Swamy alias Yadanna was injured.",1,Armed Assault,103030501.0,1
"A Mandal Parishad Territorial Constituency (MPTC) member belonging to the Congress Party, identified as Prem Prakash, was shot dead by CPI-Maoist cadres near Marikal village in Pedda Kothapally mandal of Mahbubnagar District.",1,Armed Assault,103050701.0,1
CPI-Maoist cadres of Galikonda 'area committee' killed a tiles trader of Vishakhapatnam District.,1,Armed Assault,103061601.0,1
"Police shot dead ten CPI-Maoist cadres, including 'District committee secretary' Ramesh, during an encounter in the Manala forests of Nizamabad District. Ramesh was also a member of the outfit's 'Northern Telengana special zonal committee'.",10,Armed Assault,103070501.0,10+
One Police constable is killed in an exchange of fire with suspected CPI-Maoist cadres in the Sileru Police station area of Visakhapatnam District.,1,Armed Assault,103070502.0,1
"An encounter took place between a group of CPI-Maoist cadres and a Special Police Team in Khammam District. The encounter, lasting about ten minutes, took place at about 1100 hrs in a forest near Mallampeta village in Chintur mandal, when the Police were on a combing operation. Nobody was injured, the Police added. ""The Maoists fired upon the Police, hiding behind the bushes, from Chhattisgarh territory. However, when our personnel retaliated, the Maoists ran away in to the deep forest,"" a senior Police Officer said, adding that the Police have recovered a SBLR gun from the spot.",0,Armed Assault,103071101.0,0
"Maoists kill Police head constable M. D. Jahangeer Ali, while he was on duty at Kondanagul Government Junior College for Intermediate Public Examinations.",1,Armed Assault,103080601.0,1
Three Naxalites of the CPI-ML Praja Prathighatana group are killed in an exchange of fire with the Police in the forests of Singaram village in the Adavi Mutharam mandal of Karimnagar District.,3,Armed Assault,103090601.0,3-5
Two CPI-Maoist cadres were killed in an encounter with the Police near Banala village in the Nallamala forests of Mahabubnagar District.,2,Armed Assault,103090602.0,2
"An action team of the CPI-Maoist killed a person, Bomma China Venkatesham, at Vadderagudem in the Nalgonda District.",1,Armed Assault,103100501.0,1
"A Kommu Koya (tribal) dance troupe organiser Patra Mutyam (55), an activist of the CPI-Marxist, was allegedly shot dead by suspected cadres of CPI-Maoist at the remote Tummala village in Chintur mandal of Khammam District.",1,Armed Assault,103101401.0,1
A group of approximately 15 suspected CPI-Maoist cadres kill five Police personnel and two civilians after raiding a Police station at Chilakaluripeta in the Guntur District.,7,Armed Assault,103110501.0,6-10
"CPI-Maoist cadres shot dead Bangaru Mallesh, a former Naxalite, and injure another person branding them as Police informers at Ajillapur in the Mahabubnagar District.",1,Armed Assault,103110502.0,1
Four Maoists were killed during an encounter with the Police conducting combing operations in the Bukkapatnam forest area of Anantapur District.,4,Armed Assault,103110601.0,3-5
"Two CPI-Maoist cadres, including a member of the Andhra Pradesh- Orissa Border (AOB) Special Zone Committee identified as Chokkari Gangaram alias Jagabandhu alias Kommu, were killed in an exchange of fire with Police between Kedaripuram and Elvispeta under Elvispeta Police station limits of Vizianagaram District.",2,Armed Assault,103110801.0,2
"CPI-Maoist cadres detonated an explosion targeting a gram panchayat building in the newly-constructed model housing colony for the Polavaram project-displaced at Rallapudi in Velerpadu mandal of Khammam District. The building, which was constructed at a cost of INR Two lakh a few months ago, collapsed completely.",0,Bombing,103120701.0,0
"G. Sampath, a cadre of the CPI-Maoist, was killed in an encounter with the Police personnel near Peddavagu between Nimmagudem and Pegadapalli villages in the Karimnagar District. He has been identified as a key action team member of the Mahadevpur area.",1,Armed Assault,103120801.0,1
Party central committee leader was killed in exchange of fire near Nettikonda forests in Pullalacheruvu mandal (administrative unit) in Prakasam District.,1,Armed Assault,103121001.0,1
Kondal Reddy alias Tech Ramana (48) was shot dead in Bandala Kodishala forest village in Tadwai mandal in Warangal District.,1,Armed Assault,103121002.0,1
Two Police personnel were killed and one another sustained injuries when CPI-Maoist cadres opened fire targeting a patrol party at Dandu Malkapur in the Nalgonda District.,2,Armed Assault,103150501.0,2
A surrendered CPI-Maoist cadre was hacked to death by Maoists near Pandimadugu village in the Nizamabad District.,1,Armed Assault,103150601.0,1
"Four suspected CPI-Maoist cadres killed a former coal mine worker identified as Pittala Sankaraiah, at his home in the Kanagarthi village of Peddapalli mandal in the Karimnagar District. The son of the slain person had also been killed by the Maoists on suspicion of the former being a Police informer.",1,Armed Assault,103160801.0,1
"Two civilians were injured in the crossfire between a Police team and the CPI-Maoist cadres in of Allubaka and Thippapuram forest area in Khammam District. The exchange of fire took place when a Police team combing the forest areas came under fire from Maoists at around 2 AM to 2:30 AM, which was retaliated by the Police team.",0,Armed Assault,103161201.0,0
Naxalites belonging to the Penna Ahobilam Area Dalam shot dead a TDP activist Venkatramudu at Jarutla Rampuram village in the Anantapur District branding him as a Police informer.,1,Armed Assault,103170501.0,1
A former Naxalite is shot dead by the Maoists at Indupriyal village in the Medak District.,1,Armed Assault,103170502.0,1
An Assistant Sub-Inspector of Police was seriously injured in a landmine blast triggered by the CPI-Maoist cadres at Singamkota village of Y Ramavaram mandal in the East Godavari District.,0,Bombing,103170701.0,0
Three suspected CPI-Maoist cadres shot dead a Police constable of the Balanagar Police station on the Hyderabad-Bangalore National Highway No. 7 in Mahabubnagar Distri,1,Armed Assault,103180501.0,1
"Cadres of the CPI-Maoist shot dead a grocery shop owner, identified as Shaik Khaja, at his shop under Venkatapuram Police Station in Khammam District",1,Armed Assault,103181001.0,1
"CPI-Maoist cadres shot dead two minor children, alleging that they acted as 'coverts' at Pedda Bommalapuram village of Dornala mandal in the Prakasam District.",2,Armed Assault,103190601.0,2
"Two cadres of the CPI-Maoist, including a woman, suspected to be members of Sukhdev dalam (squad), were killed in an encounter with Police",2,Armed Assault,103191001.0,2
"A LWE, Grandhi Vikanna, was shot at by his comrades over a dispute on sharing of booty in the forests near Nagarjunasagar reservoir in Guntur District. He was rushed to nearby Government hospital in a serious condition.",0,Armed Assault,103201201.0,0
"A group of ten Naxalites of the Janashakthi group shot dead a former Naxalite, Ganti Devaiah, at Konaraopeta in the Karimnagar District after branding him a Police informer.",1,Armed Assault,103220501.0,1
"A former Naxalite, Pappula Mallesh, is shot dead by unidentified persons at Sarvail in the Nalgonda District.",1,Armed Assault,103220502.0,1
"Suspected Communist Party of India-Maoist (CPI-Maoist) cadres killed a civilian, identified as Koothudi Venkata Rao, of Jakaravalasa at D. Thadivalasa, a hamlet under Kurukutti panchayat (local self government institution) in Salur Agency of Vizianagaram District",1,Armed Assault,103221601.0,1
A Police constable was killed and two others were injured when CPI-Maoist cadres opened fire on a combing party after setting off an explosive near Nelajartha village in the Visakhapatnam District.,1,Bombing,103230701.0,1
"CPI-Maoist cadres triggered a bomb blast at the Gumada Railway station in the Vizianagaram District. A group of seven Maoists, including three women, planted gelatin sticks at the station after forcing the railway staff on night duty to come out from the station.",0,Bombing,103250801.0,0
"Konapuri Ilaiah alias Sambashivudu, a former top ranking Naxalite and presently a politburo member of TRS was killed by unidentified persons in Nalgonda District while he was returning to Hyderabad from Nalgonda District along with his supporters in car after attending programme in support of a separate Telangana State. He along with his supporters was waylaid and attacked near Gokaram village in Velgonda mandal.",1,Armed Assault,103261101.0,1
"Two Maoists were killed in an encounter with the Police in the Nalgonda District. A Police party was combing areas near Noothankal, on a tip-off that some extremists were forcibly collecting money from building contractors, when the exchange of fire occurred near Mukundapur village.",2,Armed Assault,103290701.0,2
"A left-wing extremist of the Adivasi Liberation Tigers, Tholem Papa Rao alias Nuthan, was killed in an exchange of fire with the Police at Elukurthy village in the Warangal District.",1,Armed Assault,103300601.0,1
"A Police constable, Shankar Naik is killed and two other constables are injured when suspected CPI-Maoist cadres attacked the Achampet Police station in Mahabubnagar District.",1,Armed Assault,103310501.0,1
A group of CPI-Maoist cadres blasted a portion of the Panchayati Raj department’s deputy executive engineer office at Eturunagaram village in the Warangal District.,0,Bombing,103310601.0,0
"Two CPI-Maoist cadres kill the father of a surrendered Naxalite, Dadi Sattireddy, at Palivela village in the Nalgonda District.",1,Armed Assault,104010501.0,1
"Two senior CPI-Maoist cadres, including a woman, are killed during an encounter with the Police on the outskirts of Achampet in the Mahabubnagar District.",2,Armed Assault,104020501.0,2
"Two suspected CPI-ML Janashakthi cadres kill a former Naxalite, Peddolla Mallaiah, of Mallupalli village in the Medak District, branding him a Police informer.",1,Armed Assault,104060501.0,1
One CRPF trooper was injured when CPI-Maoist cadres triggered a series of landmines targeting the SF personnel on a combing operation in Rudakota area,0,Bombing,104061601.0,0
"CPI-Maoist cadres kill a civilian, Kantiah, branding him as a Police informer, at Banal village in the Mahabubnagar District.",1,Armed Assault,104070502.0,1
Three CPI-Maoist cadres were killed at Katapur forest in the Warangal District.,3,Armed Assault,104070601.0,3-5
"Naxalites of the CPI-ML-Praja Prathighatana killed a youth, identified as Enugula Lakhmaiah, at Thummalagudem village in the Palvancha mandal of Khammam District.",1,Armed Assault,104070801.0,1
"Another Maoist, identified as Manthani 'area action team commander' Tholem Bapu alias Devender, was killed in an exchange of fire with Police personnel on the outskirts of Nimmagudem village in the Karimnagar District.",1,Armed Assault,104071102.0,1
"A senior CPI-Maoist leader, identified as Gajerla Saraiah a.k.a. Azad a.k.a. Bhaskar, was killed in an encounter with the Police near Kanthanpalli in the Rampur forest area of Warangal District.",3,Armed Assault,104080201.0,3-5
"A Legislator belonging to the Congress party, Udumula Sreenivas Reddy, escaped a landmine attack by the CPI-Maoist at Kakarla in the Ongole District.",0,Bombing,104080602.0,0
"CPI-Maoist cadres kill a Congress party activist, Sainath Reddy, at Narsimpalli in the Anantapur District.",1,Armed Assault,104100501.0,1
"Naxalites of the CPI-ML Janashakti kill a community leader, Konganti Komuraiah, belonging to the Congress party at Kantathmakur village in the Warangal District.",1,Armed Assault,104110501.0,1
"A group of 30 cadres of the CPI-Maoist blew up the battery room of a BSNL cell phone tower at Bandirevu village in Dummugudem mandal in Khammam District. The Maoists triggered the blast on the first day of the 48-hour 'Dandakaranya bandh' called by the Maoists in protest against the recent 'Police excesses' in Chhattisgarh's Dantewada District and the alleged repression unleashed by the Security Forces in 'Dandakaranya'. Vital equipment in the battery room, including panel boards was damaged in the blast. The Maoists left behind pamphlets denouncing 'Operation Green Hunt'.",0,Bombing,104161101.0,0
"Cadres of the Venkatapuram area committee of the CPI-Maoist allegedly killed one U. Guravaiah (23), branding him a Police informer, near Pedamidisileru village in Charla mandal of Khammam District.",1,Armed Assault,104181201.0,1
"CPI-Maoist cadres kill Golla Adinarayana, a community leader, at Peddakondapuram village in the Anantapur District.",1,Armed Assault,104190501.0,1
Two women cadres belonging to the Chandravanka squad of the CPI-Maoist are killed in an encounter with the Police at Marrivemula village on the borders of Prakasam and Guntur Districts.,2,Armed Assault,104200501.0,2
Four Naxalites belonging to the CPI-ML Praja Prathighatana group were killed in an encounter with the Police in the Katapur forest area of Warangal District.,4,Armed Assault,104210601.0,3-5
"A Janashakti cadre, Koppala Srinivasa Rao of the Naguleti squad, is killed during an encounter with the Police at Dachepalli in the Guntur District.",1,Armed Assault,104220501.0,1
"Suspected CPI-Maoist cadres killed a 30-year-old tribal man, identified as Nupa Shiva, at Angarigudem, a tribal settlement under Karakagudem Police Station limits in Pinapaka mandal of Khammam District.",1,Armed Assault,104221401.0,1
Two Police personnel were injured in three landmine blasts in the Pedapadu forest area in G.K. Veedhi mandal of Visakhapatnam District.,0,Bombing,104230601.0,0
"A constable of SIB of Andhra Police, Pangi Appanna, was shot dead by CPI-Maoist cadres at Paderu in Visakhapatnam District. Reportedly, the Maoists had also made an attempt on his life four years ago.",1,Armed Assault,104261201.0,1
An exchange of fire took place between the Police and the CPI-Maoist cadres near Chintaguppa village in Dummugudem mandal in Khammam District.,0,Armed Assault,104261401.0,0
"Suspected CPI-Maoist cadres trigger a claymore mine explosion targeting the Police chief of Prakasam District in Andhra Pradesh, Mahesh Chandra Laddha, in the Ongole town. Two civilians die and nine others sustain injuries in the blast.",2,Bombing,104270501.0,2
CPI-Maoist cadres killed a tribal leader from Chhattisgarh in Kaliveru village of Bhadrachalam division in the Khammam District. The killed tribal leader has been identified as Madakam Kasanna (45). He was in the hit list of the Maoists for a long time and was hiding in the village for past few months.,1,Armed Assault,104270901.0,1
"The CPI-Maoist cadres of Sabari Area Committee killed two tribals, identified as Madivi Chukka (25) and Madivi Joga (28) branding them as 'police informers' at Kamanathogu of Yetapaka mandal in East Godavari District. The two hailed from Kamanathogu of Murumuru panchayat in Yetapaka mandal in East Godavari District, and were beaten them to death with sticks. Earlier (unspecified date) too, they killed another tribal identified as Podium Nadugu (55), hailing from Allivagu village of Eudugurallapalli panchayat in Chinthoor mandal on the same pretext.",3,Armed Assault,104271501.0,3-5
A LWE belonging to the Praja Pratighatana faction of the CPI-ML Praja Pratighatana was killed and two other LWE cadres were injured in an encounter with the Police in the forest area under Karakagudem Police Station limits in Pinapaka mandal in Khammam District.,1,Armed Assault,104301101.0,1
"A 35-year-old tribal man, identified as Alem Sammaiah, was shot dead by CPI-Maoist cadres in the forest area near Narsingapeta in Chinturu mandal of Khammam District.",1,Armed Assault,105011301.0,1
"In the same District, Police recovered eight landmines, weighing two kilograms each, in steel cans planted by suspected CPI-Maoist cadres targeting the Police engaged in combing operations in Kothaguda mandal. According to Police sources, four landmines were recovered between Konapur and Potlapur villages on the cart track and other four were recovered from a junction leading to Alligudem, Pochapur and Chouledu villages near Damerathogu.",0,Bombing,105020702.0,0
Police unearthed four landmines near Tadvai village on the Atchampet-Madipadu Road in Guntur District.,0,Bombing,105030601.0,0
CPI-Maoist cadres blasted the house of a primary agricultural credit societies employee at Polishettypally village in the Mahabubnagar District.,0,Bombing,105030602.0,0
"Three naxalites belonging to the Janasakti faction of the CPI-ML including two senior functionaries of the outfit, were killed during an encounter with Police party in Rollapadu forests under Tekulapalli Police station limits in the Khammam District. Eight other naxalites, however, managed to escape. Four weapons including two 88 mm rifles, a Springfield rifle and a tapancha (locally made revolver) were recovered from the spot.",3,Armed Assault,105050801.0,3-5
A former Janashakti naxalite was found dead with stab injuries on the outskirts of Kandikatkur village in Illanthakunta mandal in the Karimnagar District. A letter placed besides the body in the name of Telangana Janavimukti Sena (TJS) claimed responsibility for the killing and branded the killed person a Police informer.,1,Armed Assault,105050802.0,1
"A former activist of Salwa Judum (anti-Maoist vigilante group), Ravva Chaitanya (23), was shot dead by cadres of the CPI-Maoist at Chatti village under the Chinturu Police station limits in Khammam District.",1,Armed Assault,105051001.0,1
"A Police constable was killed and three others were injured when the Maoists opened fire on a Police party consisting of anti-Maoist Greyhounds personnel in the Gudem Kotha Veedhi mandal on the Andhra-Orissa border in Visakhapatnam District. Police said that the Maoists, who triggered a landmine explosion, exchanged fire with the Police party, which was combing the area.",1,Armed Assault,105092001.0,1
"The Maoists held a people's court in Mukkunur village of Mahadevpur forest area in Karimnagar District, fired at former Sarpanch Venkatswamy, beat up former block member Chinnappa and abducted a surrendered Maoist Narender.",0,Armed Assault,105101203.0,0
"The CPI-Maoist claimed to have killed Gabba Chander Rao, one of the two tribal youths abducted from the Tippapuram village in Charla mandal in the Khammam District. A statement issued by the outfit said that it was forced to punish him for his covert operation which resulted in the killing of 14 leaders and activists of the outfit and four civilians in an encounter at Kanchala in the Pamedu area of Chhattisgarh's Bijapur District on March 18.",1,Armed Assault,105110801.0,1
A group of about 15 armed members of Galikonda area committee of the CPI-Maoist blasted a coffee godown of Andhra Pradesh Forest Development Corporation at Pedavalasa in GK Veedhi mandal in Visakhapatnam District.,0,Bombing,105111301.0,0
CPI-Maoist cadres assaulted a construction contractor Raju and set ablaze the road-laying equipment in Chintapalli mandal in Visakhapatnam District.,0,Armed Assault,105131001.0,0
"In the Anantapur District, cadres of the CPI-Maoist kill a Congress party activist at Katrimala village.",1,Armed Assault,105140501.0,1
"A group of CPI-Maoist cadres fired at Mothugudem Sub Inspector, Srinivas, and two constables near Kothur village in Chintur mandal in Khammam District adjoining Konta block in Chhattisgarh while the Policemen were proceeding to Edugurallapalli in an autorickshaw. While Srinivas had a narrow escape, Ramesh, a constable of the Mothugudem Police Station, sustained a bullet wound. The Maoists were digging up the Boddugudem-Pothuru main road near Kothur (for the Bharat bandh on May 16) when the incident occurred. A case was registered against the members of the Sabari Dalam (squad), said Police.",0,Armed Assault,105141202.0,0
